ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References
1,1,1,lokah,好,2;4,2;4
2,1,1,su,你,2;4;5,2;4
3,1,1,cu,我,5,5;20
4,1,1,uy,也,5,4;5
5,1,1,ci,很,6;7;8,6;7
6,1,1,mhowey,謝謝,5,5;209
7,1,1,baley,真的,5,5;84
8,1,1,hiya,他,6,6;16
9,1,1,uba,爺爺,7,7
10,1,1,nya,他的,8,8;13
11,1,1,sali,家,8,8;33
12,1,2,ima,誰,10;12,10;12
13,1,2,isu,你,4;21,4;21
14,1,2,lalu,名字,10;11;12;13,10;11
15,1,2,m’es,高興,,
16,1,2,mkba,認識,,
17,1,3,hiya,他,6;16,6;16
18,1,3,kahul,從,15;19,15;19
19,1,3,Pyahaw　,碧候,,
20,1,3,lpyung,朋友,12;17,12;17
21,1,3,Ropey,金岳,,
22,1,3,Yurow,優勞,18;19,18;19
23,1,3,isu ga,你呢,4;21,4;21
24,1,4,pisa,多少,27;28,27;28
25,1,4,yamin,鞋子,34,34
26,1,4,kawas,年齡,27;28,27;28
27,1,4,spat,八,63;139,63;139
28,1,4,kinan,我,31;50,31;50
29,1,4,mesuw,九,31;78,31;78
30,1,5,musa,去,37;38,37;38
31,1,5,mowas,唱歌,40;42,40;42
32,1,5,baley,真的,5;84,5;84
33,1,5,tenah,跑步,43;230,43;230
34,1,6,cyamin,我們,83;105,83;105
35,1,6,kwara,都是,83;100,83;100
36,1,6,mowas biru,學生,40;45,40;45
37,1,6,kita,看,,
38,1,6,tiyow,工作,,
39,1,7,cahey,這邊,,
40,1,7,psbaʼ biru,老師,231,231
41,1,7,iyat,不是,57;198,57;198
42,1,7,inu,哪裡,15;19,15;19
43,1,8,utux,一,1;8,1;8
44,1,8,tiyu,六,44;140,44;140
45,1,8,hi,身體,71;100,71;100
46,1,8,ʼba,手,,
47,1,8,saʼing,二,65;68,65;68
48,1,8,pitu,七,29;54,29;54
49,1,8,kakey,腳,69;77,69;77
50,1,8,tugan,三,14;144,14;144
51,1,8,spat,八,63;139,63;139
52,1,8,tunux,頭,70;148,70;148
53,1,8,payat,四,26;107,26;107
54,1,8,mesuw,九,31;78,31;78
55,1,8,nguhuw,鼻子,66,66
56,1,8,magan,五,35;160,35;160
57,1,8,mpuw,十,89;98,89;98
58,1,8,papak,耳朵,65;74,65;74
59,1,9,piyux,很多,80;85,80;85
60,1,9,yata,嬸嬸,81;208,81;208
61,1,9,myasa,很好,84;128,84;128
62,1,9,sali,家,8;33,8;33
63,1,9,suyan mlikuy,哥哥,82;136,82;136
64,1,9,sswe knerin,妹妹,82;137,82;137
65,1,9,yaba,爸爸,62;103,62;103
66,1,9,yaya,媽媽,61;81,61;81
67,1,9,yutas,阿祖,81;101,81;101
68,1,9,sbley,和善,83,83
69,1,9,yaki,祖母,81;102,81;102
70,1,9,mama,叔叔,81,81
71,1,10,lalu,名字,10;11,10;11
72,1,10,Sayun,莎韻,124;162,124;162
73,1,10,kbaʼan,專長,93,93
74,1,10,Yawi,亞衛,92;97,92;97
75,1,10,tminun,織布,,
76,1,10,Lawa,拉娃,196;198,196;198
77,1,10,myugi,跳舞,49;94,49;94
78,1,10,kbaʼ,會,,
79,1,11,phapuy,煮菜,104;113,104;113
80,1,11,tanux,外面,106;228,106;228
81,1,11,kesi,女背籃,101,101
82,1,11,rami,菜,104;116,104;116
83,1,11,pala,布,102,102
84,1,11,tʼcyux,釣魚,105,105
85,1,12,niʼun,要吃,111;114,111;114
86,1,12,mʼuyey,餓,112,112
87,1,12,ktu,肚子,112,112
88,1,12,ngahi,地瓜,116,116
89,2,1,mnaniʼ,吃過了,,
90,2,1,ʼcyux,魚,105,105
91,2,1,ʼsyam,肉,,
92,2,1,myasa,好,84;128,84;128
93,2,1,niʼun,要吃,111;114,111;114
94,2,2,bawiʼ,高,,
95,2,2,suyan mlikuy,哥哥,82;136,82;136
96,2,2,pisa,多少,27;28,27;28
97,2,2,sswe knerin,妹妹,82;137,82;137
98,2,2,kawas,年齡,27;28,27;28
99,2,2,spat,八,63;139,63;139
