ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References,,,,,,,,
1,1,1,lokah,好,2;3,,,,,,,,,
2,1,1,mhuway,謝謝,8;91,,,,,,,,,
3,1,1,uzi,也,7;151,,,,,,,,,
4,1,1,balay,真的,8;50,,,,,,,,,
5,1,2,ima,誰,14;15,,,,,,,,,
6,1,2,lalu,名字,14;15,,,,,,,,,
7,1,2,isu,你,6;17,,,,,,,,,
8,1,2,Watan,瓦旦,16;41,,,,,,,,,
9,1,2,Yuraw,尤勞,16;293,,,,,,,,,
10,1,2,Sayun,莎韻,18;40,,,,,,,,,
11,1,2,Yukan,尤幹,18;29,,,,,,,,,
12,1,2,Pasang,巴桑,284;297,,,,,,,,,
13,1,2,Yawi,亞衛,,,,,,,,,,
14,1,3,kahul,來自,26;31,,,,,,,,,
15,1,3,inu,哪裡,26;30,,,,,,,,,
16,1,3,hiya,他,27;28,,,,,,,,,
17,1,3,lpyung,親戚,28,,,,,,,,,
18,1,3,Syanoh,松羅,31,,,,,,,,,
19,1,3,Pyanan,南山,33;299,,,,,,,,,
20,1,4,pira,多少,39;40,,,,,,,,,
21,1,4,kaws,年齡,,,,,,,,,,
22,1,4,spat,八,41;83,,,,,,,,,
23,1,4,qeru,九,43;96,,,,,,,,,
24,1,4,kuzing,我,384,,,,,,,,,
25,1,5,squliq,人,45;50,,,,,,,,,
26,1,5,ngasal,家,45;49,,,,,,,,,
27,1,5,yaba,爸爸,22;52,,,,,,,,,
28,1,5,yaya,媽媽,21;52,,,,,,,,,
29,1,5,likuy,男,52;272,,,,,,,,,
30,1,5,kneril,女,52,,,,,,,,,
31,1,5,mama,叔叔,52;201,,,,,,,,,
32,1,5,yata,嬸嬸,52;204,,,,,,,,,
33,1,5,piyux,多,50;53,,,,,,,,,
34,1,6,qutux,一個,1;60,,,,,,,,,
35,1,6,sazing,兩個,13;59,,,,,,,,,
36,1,6,papak,耳朵,59;67,,,,,,,,,
37,1,6,roziq,眼睛,59;68,,,,,,,,,
38,1,6,nguhuw,鼻子,60;94,,,,,,,,,
